Doc Id,Sentence Id,Sentence,Lowercase Sentence,#Tokens,Stanford POS Tag,Stanford Lemma,Stanford Lower Lemma,#POS Tags,#Lemmas,#Events,#Time Expressions,# POS Tags VB,#Event Tokens,#Event Lemma
ea980120.1830.0071,18,Diane ?,diane ?,2,NNP .,Diane ?,diane ?,2,2,0,0.0,0.0,0.0,0.0
APW19980322.0749,26,-LRB- sp/eml -RRB-,-lrb- sp/eml -rrb-,3,-LRB- NN -RRB-,-lrb- sp/eml -rrb-,-lrb- sp/eml -rrb-,3,3,0,0.0,0.0,0.0,0.0
APW19980418.0210,10,-LRB- ab/dc -RRB-,-lrb- ab/dc -rrb-,3,-LRB- NN -RRB-,-lrb- ab/dc -rrb-,-lrb- ab/dc -rrb-,3,3,0,0.0,0.0,0.0,0.0
APW19980227.0489,8,-LRB- aa-kjd -RRB-,-lrb- aa-kjd -rrb-,3,-LRB- NN -RRB-,-lrb- aa-kjd -rrb-,-lrb- aa-kjd -rrb-,3,3,0,0.0,0.0,0.0,0.0
CNN19980227.2130.0067,7,Atlanta again .,atlanta again .,3,NNP RB .,Atlanta again .,atlanta again .,3,3,0,0.0,0.0,0.0,0.0
APW19980227.0494,24,-LRB- pvs/vi/ji -RRB-,-lrb- pvs/vi/ji -rrb-,3,-LRB- NN -RRB-,-lrb- pvs/vi/ji -rrb-,-lrb- pvs/vi/ji -rrb-,3,3,0,0.0,0.0,0.0,0.0
PRI19980303.2000.2550,20,That 's correct .,that 's correct .,4,DT VBZ JJ .,that be correct .,that be correct .,4,4,0,0.0,1.0,1.0,1.0
wsj_0584,31,We 're surprised .,we 're surprised .,4,PRP VBP VBN .,we be surprise .,we be surprise .,4,4,0,0.0,2.0,1.0,2.0
APW19980626.0364,8,UR -LRB- pfg-xx -RRB-,ur -lrb- pfg-xx -rrb-,4,NN -LRB- NN -RRB-,ur -lrb- pfg-xx -rrb-,ur -lrb- pfg-xx -rrb-,4,4,0,0.0,0.0,0.0,0.0
ABC19980114.1830.0611,17,God bless him .,god bless him .,4,NNP VB PRP .,God bless he .,god bless he .,4,4,0,0.0,1.0,0.0,0.0
ABC19980114.1830.0611,16,I think so .,i think so .,4,PRP VBP RB .,I think so .,i think so .,4,4,0,0.0,1.0,1.0,1.0
NYT20000224.0173,3,Until this week .,until this week .,4,IN DT NN .,until this week .,until this week .,4,4,0,1.0,0.0,0.0,0.0
