Doc Id,Sentence Id,Sentence,Lowercase Sentence,#Tokens,Stanford POS Tag,Stanford Lemma,Stanford Lower Lemma,#POS Tags,#Lemmas,#Events,#Time Expressions,All Runs Times
nyt_20130321_sarkozy,0,"Former President Nicolas Sarkozy was informed Thursday that he would face a formal investigation into whether he abused the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get funds for his 2007 presidential campaign .","former president nicolas sarkozy was informed thursday that he would face a formal investigation into whether he abused the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france 's richest woman , to get funds for his 2007 presidential campaign .",47,"NNP NNP NNP NNP VBD VBN NNP IN PRP MD VB DT JJ NN IN IN PRP VBD DT NN IN NNP NNP , CD , DT NN TO DT NNP NN CC NNP POS JJS NN , TO VB NNS IN PRP$ CD JJ NN .","Former President Nicolas Sarkozy be inform Thursday that he would face a formal investigation into whether he abuse the frailty of Liliane Bettencourt , 90 , the heiress to the L'Oreal fortune and France 's richest woman , to get fund for he 2007 presidential campaign .","former president nicolas sarkozy be inform thursday that he would face a formal investigation into whether he abuse the frailty of liliane bettencourt , 90 , the heiress to the l'oreal fortune and france 's richest woman , to get fund for he 2007 presidential campaign .",47,47,6,2,Thursday__46__54###2007__248__252###Former__0__6
nyt_20130321_sarkozy,1,"Mr. Sarkozy has denied accepting illegal campaign funds from Ms. Bettencourt , either personally or through his party treasurer at the time , Eric Woerth , as alleged by her former butler .","mr. sarkozy has denied accepting illegal campaign funds from ms. bettencourt , either personally or through his party treasurer at the time , eric woerth , as alleged by her former butler .",33,"NNP NNP VBZ VBN VBG JJ NN NNS IN NNP NNP , DT RB CC IN PRP$ NN NN IN DT NN , NNP NNP , IN VBN IN PRP$ JJ NN .","Mr. Sarkozy have deny accept illegal campaign fund from Ms. Bettencourt , either personally or through he party treasurer at the time , Eric Woerth , as allege by she former butler .","mr. sarkozy have deny accept illegal campaign fund from ms. bettencourt , either personally or through he party treasurer at the time , eric woerth , as allege by she former butler .",33,33,3,0,former__174__180
nyt_20130321_sarkozy,2,"Mr. Sarkozy 's lawyer , Thierry Herzog , called the judge 's decision , which indicates that the judge believes that Mr. Sarkozy probably committed a crime , `` incoherent '' and `` unjust . ''","mr. sarkozy 's lawyer , thierry herzog , called the judge 's decision , which indicates that the judge believes that mr. sarkozy probably committed a crime , `` incoherent '' and `` unjust . ''",36,"NNP NNP POS NN , NNP NNP , VBD DT NN POS NN , WDT VBZ IN DT NN VBZ IN NNP NNP RB VBD DT NN , `` JJ '' CC `` JJ . ''","Mr. Sarkozy 's lawyer , Thierry Herzog , call the judge 's decision , which indicate that the judge believe that Mr. Sarkozy probably commit a crime , `` incoherent '' and `` unjust . ''","mr. sarkozy 's lawyer , thierry herzog , call the judge 's decision , which indicate that the judge believe that mr. sarkozy probably commit a crime , `` incoherent '' and `` unjust . ''",36,36,5,0,
nyt_20130321_sarkozy,3,The lawyer said he would appeal .,the lawyer said he would appeal .,7,DT NN VBD PRP MD VB .,the lawyer say he would appeal .,the lawyer say he would appeal .,7,7,2,0,
nyt_20130321_sarkozy,4,"The ruling does not necessarily mean that Mr. Sarkozy , who lost his re-election bid last May and with it his presidential immunity from prosecution , will stand trial .","the ruling does not necessarily mean that mr. sarkozy , who lost his re-election bid last may and with it his presidential immunity from prosecution , will stand trial .",30,"DT NN VBZ RB RB VB IN NNP NNP , WP VBD PRP$ NN NN JJ NNP CC IN PRP PRP$ JJ NN IN NN , MD VB NN .","the ruling do not necessarily mean that Mr. Sarkozy , who lose he re-election bid last May and with it he presidential immunity from prosecution , will stand trial .","the ruling do not necessarily mean that mr. sarkozy , who lose he re-election bid last may and with it he presidential immunity from prosecution , will stand trial .",30,30,6,1,last May__85__93
CNN_20130322_1003,0,"A New York man who was accused of faking his death last summer pleaded guilty to a conspiracy charge Thursday , Nassau County District Attorney Kathleen Rice announced .","a new york man who was accused of faking his death last summer pleaded guilty to a conspiracy charge thursday , nassau county district attorney kathleen rice announced .",29,"DT NNP NNP NN WP VBD VBN IN VBG PRP$ NN JJ NN VBD JJ TO DT NN NN NNP , NNP NNP NNP NNP NNP NNP VBD .","a New York man who be accuse of fake he death last summer plead guilty to a conspiracy charge Thursday , Nassau County District Attorney Kathleen Rice announce .","a new york man who be accuse of fake he death last summer plead guilty to a conspiracy charge thursday , nassau county district attorney kathleen rice announce .",29,29,5,2,last summer__51__62###Thursday__101__109
CNN_20130322_1003,1,"Raymond Roth , 48 , of Massapequa , New York , was first reported missing in the waters off Jones Beach late last July by his 22-year-old son , Jonathan Roth .","raymond roth , 48 , of massapequa , new york , was first reported missing in the waters off jones beach late last july by his 22-year-old son , jonathan roth .",32,"NNP NNP , CD , IN NNP , NNP NNP , VBD RB VBN VBG IN DT NNS IN NNP NNP RB JJ NNP IN PRP$ JJ NN , NNP NNP .","Raymond Roth , 48 , of Massapequa , New York , be first report miss in the water off Jones Beach late last July by he 22-year-old son , Jonathan Roth .","raymond roth , 48 , of massapequa , new york , be first report miss in the water off jones beach late last july by he 22-year-old son , jonathan roth .",32,32,2,1,last July__109__118###22-year-old__126__137###late last July__104__118
CNN_20130322_1003,2,"Several days into an extensive search involving multiple agencies , New York State Park Police said , authorities learned the missing man was in South Carolina , where he had been pulled over for speeding .","several days into an extensive search involving multiple agencies , new york state park police said , authorities learned the missing man was in south carolina , where he had been pulled over for speeding .",36,"JJ NNS IN DT JJ NN VBG JJ NNS , NNP NNP NNP NNP NNP VBD , NNS VBD DT JJ NN VBD IN NNP NNP , WRB PRP VBD VBN VBN RP IN NN .","several day into a extensive search involve multiple agency , New York State Park Police say , authority learn the missing man be in South Carolina , where he have be pull over for speeding .","several day into a extensive search involve multiple agency , new york state park police say , authority learn the missing man be in south carolina , where he have be pull over for speeding .",36,36,5,1,Several days__0__12###days__8__12
CNN_20130322_1003,3,"The day before Raymond Roth was pulled over , his wife , Evana , showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death .","the day before raymond roth was pulled over , his wife , evana , showed authorities e-mails she had discovered that appeared to detail a plan between him and his son to fake his death .",36,"DT NN IN NNP NNP VBD VBN RP , PRP$ NN , NN , VBD NNS NNS PRP VBD VBN IN VBD TO NN DT NN IN PRP CC PRP$ NN TO JJ PRP$ NN .","the day before Raymond Roth be pull over , he wife , evana , show authority e-mail she have discover that appear to detail a plan between he and he son to fake he death .","the day before raymond roth be pull over , he wife , evana , show authority e-mail she have discover that appear to detail a plan between he and he son to fake he death .",36,36,6,1,The day__0__7###day__4__7###The day before__0__14
CNN_20130322_1003,4,"Raymond Roth wanted his wife and son to collect at least $ 410,000 in life insurance benefits while he started a new life in Florida , Rice said .","raymond roth wanted his wife and son to collect at least $ 410,000 in life insurance benefits while he started a new life in florida , rice said .",29,"NNP NNP VBD PRP$ NN CC NN TO VB IN JJS $ CD IN NN NN NNS IN PRP VBD DT JJ NN IN NNP , NNP VBD .","Raymond Roth want he wife and son to collect at least $ 410,000 in life insurance benefit while he start a new life in Florida , Rice say .","raymond roth want he wife and son to collect at least $ 410,000 in life insurance benefit while he start a new life in florida , rice say .",29,29,4,0,
CNN_20130322_1003,5,"State police arrested both men in early August on charges of insurance fraud , conspiracy and filing a false report .","state police arrested both men in early august on charges of insurance fraud , conspiracy and filing a false report .",21,"NN NN VBD DT NNS IN JJ NNP IN NNS IN NN NN , NN CC VBG DT JJ NN .","state police arrest both man in early August on charge of insurance fraud , conspiracy and file a false report .","state police arrest both man in early august on charge of insurance fraud , conspiracy and file a false report .",21,21,1,1,early August__34__46###August__40__46
CNN_20130322_1003,6,"Raymond Roth on Thursday agreed to plead guilty to the conspiracy charge in exchange for a sentence of 90 days in jail and five years ` probation , the district attorney 's office said .","raymond roth on thursday agreed to plead guilty to the conspiracy charge in exchange for a sentence of 90 days in jail and five years ` probation , the district attorney 's office said .",35,"NNP NNP IN NNP VBD TO VB JJ TO DT NN NN IN NN IN DT NN IN CD NNS IN NN CC CD NNS POS NN , DT NN NN POS NN VBD .","Raymond Roth on Thursday agree to plead guilty to the conspiracy charge in exchange for a sentence of 90 day in jail and five year ` probation , the district attorney 's office say .","raymond roth on thursday agree to plead guilty to the conspiracy charge in exchange for a sentence of 90 day in jail and five year ` probation , the district attorney 's office say .",35,35,5,3,Thursday__16__24###90__103__105###five years__123__133###90 days__103__110###Thursday agreed to plead guilty to the conspiracy charge in exchange for a sentence of 90 days__16__110###five years `__123__135
CNN_20130322_1003,7,"He also must pay restitution for the cost of the search -- $ 27,445 to the U.S. Coast Guard and $ 9,109 to the Nassau County Police Department .","he also must pay restitution for the cost of the search -- $ 27,445 to the u.s. coast guard and $ 9,109 to the nassau county police department .",29,PRP RB MD VB NN IN DT NN IN DT NN : $ CD TO DT NNP NNP NNP CC $ CD TO DT NNP NNP NNP NNP .,"he also must pay restitution for the cost of the search -- $ 27,445 to the U.S. Coast Guard and $ 9,109 to the Nassau County Police Department .","he also must pay restitution for the cost of the search -- $ 27,445 to the u.s. coast guard and $ 9,109 to the nassau county police department .",29,29,2,0,
CNN_20130322_1003,8,Evana Roth told CNN in August she thought her husband devised the plan after he was fired from his job in July .,evana roth told cnn in august she thought her husband devised the plan after he was fired from his job in july .,23,NNP NNP VBD NNP IN NNP PRP VBD PRP$ NN VBD DT NN IN PRP VBD VBN IN PRP$ NN IN NNP .,Evana Roth tell CNN in August she think she husband devise the plan after he be fire from he job in July .,evana roth tell cnn in august she think she husband devise the plan after he be fire from he job in july .,23,23,4,2,August__23__29###July__106__110###July .__106__112
CNN_20130322_1003,9,"Her attorney , Lenard Leeds , said she had been unaware of the ruse before she uncovered the e-mail correspondence .","her attorney , lenard leeds , said she had been unaware of the ruse before she uncovered the e-mail correspondence .",21,"PRP$ NN , NNP NNP , VBD PRP VBD VBN JJ IN DT NN IN PRP VBD DT JJ NN .","she attorney , Lenard Leeds , say she have be unaware of the ruse before she uncover the e-mail correspondence .","she attorney , lenard leeds , say she have be unaware of the ruse before she uncover the e-mail correspondence .",21,21,5,0,
CNN_20130322_1003,10,`` There needs to be a way for me to find out how things are going .,`` there needs to be a way for me to find out how things are going .,17,`` EX VBZ TO VB DT NN IN PRP TO VB RP WRB NNS VBP VBG .,`` there need to be a way for I to find out how thing be go .,`` there need to be a way for i to find out how thing be go .,17,17,2,0,
CNN_20130322_1003,11,"Call me Sunday night at 8 PM at the resort , '' Raymond Roth wrote in an e-mail to his son the day before the son reported him missing .","call me sunday night at 8 pm at the resort , '' raymond roth wrote in an e-mail to his son the day before the son reported him missing .",30,"VB PRP NNP NN IN CD NN IN DT NN , '' NNP NNP VBD IN DT NN TO PRP$ NN DT NN IN DT NN VBD PRP VBG .","call I Sunday night at 8 pm at the resort , '' Raymond Roth write in a e-mail to he son the day before the son report he miss .","call i sunday night at 8 pm at the resort , '' raymond roth write in a e-mail to he son the day before the son report he miss .",30,30,4,3,"Sunday night__8__20###the day__91__98###Sunday night at 8 PM__8__28###8 PM__24__28###the day before__91__105###8 PM at the resort , '' Raymond Roth wrote in an e-mail to his son the day__24__98"
CNN_20130322_1003,12,"The son 's case is still pending , the district attorney said .","the son 's case is still pending , the district attorney said .",13,"DT NN POS NN VBZ RB VBG , DT NN NN VBD .","the son 's case be still pend , the district attorney say .","the son 's case be still pend , the district attorney say .",13,13,2,0,
CNN_20130322_1003,13,"Jonathan Roth 's attorney , Joey Jackson , defended his client after his arrest , saying , `` There was abuse here , manipulation here , coercion here '' from the father .","jonathan roth 's attorney , joey jackson , defended his client after his arrest , saying , `` there was abuse here , manipulation here , coercion here '' from the father .",33,"NNP NNP POS NN , NNP NNP , VBD PRP$ NN IN PRP$ NN , VBG , `` EX VBD NN RB , NN RB , NN RB '' IN DT NN .","Jonathan Roth 's attorney , Joey Jackson , defend he client after he arrest , say , `` there be abuse here , manipulation here , coercion here '' from the father .","jonathan roth 's attorney , joey jackson , defend he client after he arrest , say , `` there be abuse here , manipulation here , coercion here '' from the father .",33,33,6,0,
