Doc Id,Sentence Id,Token Id Doc,Token Id Sent,Token,Lowercase Token,Start Offset,End Offset,Is Event,Event Id,Event Class,Tense,Aspect,Polarity,POS,POS Tag Stanford,Lemma Stanford,Lowercase Lemma Stanford,POS Tag,Is Time Expression,Time Expression Id,Time Expression Type,Time Expression Value,Token POS,Lemma POS
AP_20130322,0,1,1,The,the,0,3,0,O,O,O,O,O,O,DT,the,the,DT,0,O,O,O,the-DT,the-DT
AP_20130322,0,2,2,flu,flu,4,7,0,O,O,O,O,O,O,NN,flu,flu,NN,0,O,O,O,flu-NN,flu-NN
AP_20130322,0,3,3,season,season,8,14,1,e1000028,B-OCCURRENCE,NONE,NONE,POS,NOUN,NN,season,season,NN,0,O,O,O,season-NN,season-NN
AP_20130322,0,4,4,is,is,15,17,0,O,O,O,O,O,O,VBZ,be,be,VB,0,O,O,O,is-VB,be-VB
AP_20130322,0,5,5,winding,winding,18,25,0,O,O,O,O,O,O,VBG,wind,wind,VB,0,O,O,O,winding-VB,wind-VB
AP_20130322,0,6,6,down,down,26,30,0,O,O,O,O,O,O,RP,down,down,RP,0,O,O,O,down-RP,down-RP
AP_20130322,0,7,7,",",",",31,32,0,O,O,O,O,O,O,",",",",",",",",0,O,O,O,",-,",",-,"
AP_20130322,0,8,8,and,and,33,36,0,O,O,O,O,O,O,CC,and,and,CC,0,O,O,O,and-CC,and-CC
AP_20130322,0,9,9,it,it,37,39,0,O,O,O,O,O,O,PRP,it,it,PRP,0,O,O,O,it-PRP,it-PRP
AP_20130322,0,10,10,has,has,40,43,0,O,O,O,O,O,O,VBZ,have,have,VB,0,O,O,O,has-VB,have-VB
AP_20130322,0,11,11,killed,killed,44,50,1,e2,B-OCCURRENCE,PRESENT,PERFECTIVE,POS,VERB,VBN,kill,kill,VB,0,O,O,O,killed-VB,kill-VB
AP_20130322,0,12,12,105,105,51,54,0,O,O,O,O,O,O,CD,105,105,CD,0,O,O,O,105-CD,105-CD
AP_20130322,0,13,13,children,children,55,63,0,O,O,O,O,O,O,NNS,child,child,NN,0,O,O,O,children-NN,child-NN
AP_20130322,0,14,14,so,so,64,66,0,O,O,O,O,O,O,RB,so,so,RB,0,O,O,O,so-RB,so-RB
AP_20130322,0,15,15,far,far,67,70,0,O,O,O,O,O,O,RB,far,far,RB,0,O,O,O,far-RB,far-RB
AP_20130322,0,16,16,0,0,71,72,0,O,O,O,O,O,O,0,0,0,0,0,O,O,O,0-0,0-0
AP_20130322,0,17,17,about,about,73,78,0,O,O,O,O,O,O,IN,about,about,IN,0,O,O,O,about-IN,about-IN
